UID	Product_ID	Review_ID	Review_Text	Processed_Text	Tokens	Rating	TextBlob	Vader	API	Matched_token	Theme	Subtheme
14	40114261	3	 There was no company name in the product. only a sticker attached. the lid is useless bery light weight. even the tawa is light weight aluminium tawa. get heated very easily. not good for appam patra. I had earlier used Anjali products. either they deteriorated or fake product	no company name product only sticker attach lid useless bery light weight even tawa light weight aluminium tawa get heat very easily not good appam patra have earlier use anjali products either deteriorate fake product	['no', 'company', 'name', 'product', 'only', 'sticker', 'attach', 'lid', 'useless', 'bery', 'light', 'weight', 'even', 'tawa', 'light', 'weight', 'aluminium', 'tawa', 'get', 'heat', 'very', 'easily', 'not', 'good', 'appam', 'patra', 'have', 'earlier', 'use', 'anjali', 'products', 'either', 'deteriorate', 'fake', 'product']	2	NEGATIVE	NEGATIVE	NEGATIVE	useless	quality	n/a
15	40114261	3	 There was no company name in the product. only a sticker attached. the lid is useless bery light weight. even the tawa is light weight aluminium tawa. get heated very easily. not good for appam patra. I had earlier used Anjali products. either they deteriorated or fake product	no company name product only sticker attach lid useless bery light weight even tawa light weight aluminium tawa get heat very easily not good appam patra have earlier use anjali products either deteriorate fake product	['no', 'company', 'name', 'product', 'only', 'sticker', 'attach', 'lid', 'useless', 'bery', 'light', 'weight', 'even', 'tawa', 'light', 'weight', 'aluminium', 'tawa', 'get', 'heat', 'very', 'easily', 'not', 'good', 'appam', 'patra', 'have', 'earlier', 'use', 'anjali', 'products', 'either', 'deteriorate', 'fake', 'product']	2	NEGATIVE	NEGATIVE	NEGATIVE	weight	quality	n/a
16	40114261	3	 There was no company name in the product. only a sticker attached. the lid is useless bery light weight. even the tawa is light weight aluminium tawa. get heated very easily. not good for appam patra. I had earlier used Anjali products. either they deteriorated or fake product	no company name product only sticker attach lid useless bery light weight even tawa light weight aluminium tawa get heat very easily not good appam patra have earlier use anjali products either deteriorate fake product	['no', 'company', 'name', 'product', 'only', 'sticker', 'attach', 'lid', 'useless', 'bery', 'light', 'weight', 'even', 'tawa', 'light', 'weight', 'aluminium', 'tawa', 'get', 'heat', 'very', 'easily', 'not', 'good', 'appam', 'patra', 'have', 'earlier', 'use', 'anjali', 'products', 'either', 'deteriorate', 'fake', 'product']	2	NEGATIVE	NEGATIVE	NEGATIVE	heat	operational_effectiveness	n/a
17	40114261	3	 There was no company name in the product. only a sticker attached. the lid is useless bery light weight. even the tawa is light weight aluminium tawa. get heated very easily. not good for appam patra. I had earlier used Anjali products. either they deteriorated or fake product	no company name product only sticker attach lid useless bery light weight even tawa light weight aluminium tawa get heat very easily not good appam patra have earlier use anjali products either deteriorate fake product	['no', 'company', 'name', 'product', 'only', 'sticker', 'attach', 'lid', 'useless', 'bery', 'light', 'weight', 'even', 'tawa', 'light', 'weight', 'aluminium', 'tawa', 'get', 'heat', 'very', 'easily', 'not', 'good', 'appam', 'patra', 'have', 'earlier', 'use', 'anjali', 'products', 'either', 'deteriorate', 'fake', 'product']	2	NEGATIVE	NEGATIVE	NEGATIVE	use	operational_effectiveness	n/a
18	40114261	3	 There was no company name in the product. only a sticker attached. the lid is useless bery light weight. even the tawa is light weight aluminium tawa. get heated very easily. not good for appam patra. I had earlier used Anjali products. either they deteriorated or fake product	no company name product only sticker attach lid useless bery light weight even tawa light weight aluminium tawa get heat very easily not good appam patra have earlier use anjali products either deteriorate fake product	['no', 'company', 'name', 'product', 'only', 'sticker', 'attach', 'lid', 'useless', 'bery', 'light', 'weight', 'even', 'tawa', 'light', 'weight', 'aluminium', 'tawa', 'get', 'heat', 'very', 'easily', 'not', 'good', 'appam', 'patra', 'have', 'earlier', 'use', 'anjali', 'products', 'either', 'deteriorate', 'fake', 'product']	2	NEGATIVE	NEGATIVE	NEGATIVE	light weight	size	insignificant
19	40114261	4	 It is not 28cm diameter. it's only 21cm. wasted my money!	not cm diameter only cm waste money	['not', 'cm', 'diameter', 'only', 'cm', 'waste', 'money']	3	NEGATIVE	NEGATIVE	NEUTRAL	money	price	n/a
20	40114261	4	 It is not 28cm diameter. it's only 21cm. wasted my money!	not cm diameter only cm waste money	['not', 'cm', 'diameter', 'only', 'cm', 'waste', 'money']	3	NEGATIVE	NEGATIVE	NEUTRAL	cm	size	n/a
21	40114261	4	 It is not 28cm diameter. it's only 21cm. wasted my money!	not cm diameter only cm waste money	['not', 'cm', 'diameter', 'only', 'cm', 'waste', 'money']	3	NEGATIVE	NEGATIVE	NEUTRAL	diameter	size	n/a
22	40114261	5	not so good there was dent on the product when i got this.	not good dent product get	['not', 'good', 'dent', 'product', 'get']	1	NEGATIVE	NEGATIVE	NEGATIVE	dent	quality	n/a
23	40114261	5	not so good there was dent on the product when i got this.	not good dent product get	['not', 'good', 'dent', 'product', 'get']	1	NEGATIVE	NEGATIVE	NEGATIVE	good	quality	n/a
24	40114261	6	defect in steel lid Dent in steel lid	defect steel lid dent steel lid	['defect', 'steel', 'lid', 'dent', 'steel', 'lid']	1	NEUTRAL	NEGATIVE	NEUTRAL	defect	quality	n/a
25	40114261	6	defect in steel lid Dent in steel lid	defect steel lid dent steel lid	['defect', 'steel', 'lid', 'dent', 'steel', 'lid']	1	NEUTRAL	NEGATIVE	NEUTRAL	dent	quality	n/a
26	40114261	7	 Very good and nonstick, consumes less oil. Only that the appa kuzhi size could have been bigger.	very good nonstick consume less oil only appa kuzhi size could have bigger	['very', 'good', 'nonstick', 'consume', 'less', 'oil', 'only', 'appa', 'kuzhi', 'size', 'could', 'have', 'bigger']	5	POSITIVE	POSITIVE	POSITIVE	size	size	n/a
27	40114261	7	 Very good and nonstick, consumes less oil. Only that the appa kuzhi size could have been bigger.	very good nonstick consume less oil only appa kuzhi size could have bigger	['very', 'good', 'nonstick', 'consume', 'less', 'oil', 'only', 'appa', 'kuzhi', 'size', 'could', 'have', 'bigger']	5	POSITIVE	POSITIVE	POSITIVE	good	quality	n/a
28	40114261	7	 Very good and nonstick, consumes less oil. Only that the appa kuzhi size could have been bigger.	very good nonstick consume less oil only appa kuzhi size could have bigger	['very', 'good', 'nonstick', 'consume', 'less', 'oil', 'only', 'appa', 'kuzhi', 'size', 'could', 'have', 'bigger']	5	POSITIVE	POSITIVE	POSITIVE	bigger	operational_effectiveness	n/a
29	40114261	7	 Very good and nonstick, consumes less oil. Only that the appa kuzhi size could have been bigger.	very good nonstick consume less oil only appa kuzhi size could have bigger	['very', 'good', 'nonstick', 'consume', 'less', 'oil', 'only', 'appa', 'kuzhi', 'size', 'could', 'have', 'bigger']	5	POSITIVE	POSITIVE	POSITIVE	consume	operational_effectiveness	n/a
30	40114261	8	 User friendly	user friendly	['user', 'friendly']	4	POSITIVE	POSITIVE	POSITIVE	friendly	operational_effectiveness	n/a
31	40114261	9	 Good Product	good product	['good', 'product']	3	POSITIVE	POSITIVE	POSITIVE	good	quality	n/a
32	40114261	9	 Good Product	good product	['good', 'product']	3	POSITIVE	POSITIVE	POSITIVE	good product	quality	superior quality
33	40114261	10	 product is good, I made 2 batches and they came out nicely. removing 1 star for delivery, the lid was dented, maybe bad handling.	product good make batch come nicely remove star delivery lid dent maybe bad handle	['product', 'good', 'make', 'batch', 'come', 'nicely', 'remove', 'star', 'delivery', 'lid', 'dent', 'maybe', 'bad', 'handle']	3	POSITIVE	POSITIVE	NEGATIVE	batch	shipping_delivery	n/a
34	40114261	10	 product is good, I made 2 batches and they came out nicely. removing 1 star for delivery, the lid was dented, maybe bad handling.	product good make batch come nicely remove star delivery lid dent maybe bad handle	['product', 'good', 'make', 'batch', 'come', 'nicely', 'remove', 'star', 'delivery', 'lid', 'dent', 'maybe', 'bad', 'handle']	3	POSITIVE	POSITIVE	NEGATIVE	delivery	shipping_delivery	n/a
35	40114261	10	 product is good, I made 2 batches and they came out nicely. removing 1 star for delivery, the lid was dented, maybe bad handling.	product good make batch come nicely remove star delivery lid dent maybe bad handle	['product', 'good', 'make', 'batch', 'come', 'nicely', 'remove', 'star', 'delivery', 'lid', 'dent', 'maybe', 'bad', 'handle']	3	POSITIVE	POSITIVE	NEGATIVE	bad	quality	n/a
36	40114261	10	 product is good, I made 2 batches and they came out nicely. removing 1 star for delivery, the lid was dented, maybe bad handling.	product good make batch come nicely remove star delivery lid dent maybe bad handle	['product', 'good', 'make', 'batch', 'come', 'nicely', 'remove', 'star', 'delivery', 'lid', 'dent', 'maybe', 'bad', 'handle']	3	POSITIVE	POSITIVE	NEGATIVE	dent	quality	n/a
37	40114261	10	 product is good, I made 2 batches and they came out nicely. removing 1 star for delivery, the lid was dented, maybe bad handling.	product good make batch come nicely remove star delivery lid dent maybe bad handle	['product', 'good', 'make', 'batch', 'come', 'nicely', 'remove', 'star', 'delivery', 'lid', 'dent', 'maybe', 'bad', 'handle']	3	POSITIVE	POSITIVE	NEGATIVE	good	quality	n/a
38	40114261	10	 product is good, I made 2 batches and they came out nicely. removing 1 star for delivery, the lid was dented, maybe bad handling.	product good make batch come nicely remove star delivery lid dent maybe bad handle	['product', 'good', 'make', 'batch', 'come', 'nicely', 'remove', 'star', 'delivery', 'lid', 'dent', 'maybe', 'bad', 'handle']	3	POSITIVE	POSITIVE	NEGATIVE	make	quality	n/a
39	40114261	10	 product is good, I made 2 batches and they came out nicely. removing 1 star for delivery, the lid was dented, maybe bad handling.	product good make batch come nicely remove star delivery lid dent maybe bad handle	['product', 'good', 'make', 'batch', 'come', 'nicely', 'remove', 'star', 'delivery', 'lid', 'dent', 'maybe', 'bad', 'handle']	3	POSITIVE	POSITIVE	NEGATIVE	handle	operational_effectiveness	n/a
40	40114261	11	 Good	good	['good']	4	POSITIVE	POSITIVE	POSITIVE	good	quality	n/a
41	40114261	12	 i want one more product	want one more product	['want', 'one', 'more', 'product']	1	POSITIVE	POSITIVE	NEGATIVE	want	quality	n/a
42	40114261	13	awesome product good product delivered by ritesh	awesome product good product deliver ritesh	['awesome', 'product', 'good', 'product', 'deliver', 'ritesh']	5	POSITIVE	POSITIVE	POSITIVE	deliver	shipping_delivery	n/a
43	40114261	13	awesome product good product delivered by ritesh	awesome product good product deliver ritesh	['awesome', 'product', 'good', 'product', 'deliver', 'ritesh']	5	POSITIVE	POSITIVE	POSITIVE	awesome	quality	n/a
44	40114261	13	awesome product good product delivered by ritesh	awesome product good product deliver ritesh	['awesome', 'product', 'good', 'product', 'deliver', 'ritesh']	5	POSITIVE	POSITIVE	POSITIVE	good	quality	n/a
45	40114261	13	awesome product good product delivered by ritesh	awesome product good product deliver ritesh	['awesome', 'product', 'good', 'product', 'deliver', 'ritesh']	5	POSITIVE	POSITIVE	POSITIVE	awesome product	quality	superior quality
46	40114261	13	awesome product good product delivered by ritesh	awesome product good product deliver ritesh	['awesome', 'product', 'good', 'product', 'deliver', 'ritesh']	5	POSITIVE	POSITIVE	POSITIVE	good product	quality	superior quality
47	40114261	14	 good	good	['good']	5	POSITIVE	POSITIVE	POSITIVE	good	quality	n/a
48	40114261	15	nice the pan is little smaller than what is shown in the picture but still good	nice pan little smaller than show picture but still good	['nice', 'pan', 'little', 'smaller', 'than', 'show', 'picture', 'but', 'still', 'good']	5	POSITIVE	POSITIVE	POSITIVE	smaller	size	n/a
49	40114261	15	nice the pan is little smaller than what is shown in the picture but still good	nice pan little smaller than show picture but still good	['nice', 'pan', 'little', 'smaller', 'than', 'show', 'picture', 'but', 'still', 'good']	5	POSITIVE	POSITIVE	POSITIVE	good	quality	n/a
50	40114261	15	nice the pan is little smaller than what is shown in the picture but still good	nice pan little smaller than show picture but still good	['nice', 'pan', 'little', 'smaller', 'than', 'show', 'picture', 'but', 'still', 'good']	5	POSITIVE	POSITIVE	POSITIVE	nice	quality	n/a
51	40114261	15	nice the pan is little smaller than what is shown in the picture but still good	nice pan little smaller than show picture but still good	['nice', 'pan', 'little', 'smaller', 'than', 'show', 'picture', 'but', 'still', 'good']	5	POSITIVE	POSITIVE	POSITIVE	little smaller	size	insignificant
52	40114261	15	nice the pan is little smaller than what is shown in the picture but still good	nice pan little smaller than show picture but still good	['nice', 'pan', 'little', 'smaller', 'than', 'show', 'picture', 'but', 'still', 'good']	5	POSITIVE	POSITIVE	POSITIVE	little small	size	insignificant
53	40114261	16	 best products	best products	['best', 'products']	5	POSITIVE	POSITIVE	POSITIVE	best	quality	n/a
54	40114261	17	Must go for it. Good Product.	must go good product	['must', 'go', 'good', 'product']	4	POSITIVE	POSITIVE	NEUTRAL	good	quality	n/a
55	40114261	17	Must go for it. Good Product.	must go good product	['must', 'go', 'good', 'product']	4	POSITIVE	POSITIVE	NEUTRAL	good product	quality	superior quality
56	40114261	18	 Good	good	['good']	5	POSITIVE	POSITIVE	POSITIVE	good	quality	n/a
57	40114261	19	 good, nice product	good nice product	['good', 'nice', 'product']	5	POSITIVE	POSITIVE	POSITIVE	good	quality	n/a
58	40114261	19	 good, nice product	good nice product	['good', 'nice', 'product']	5	POSITIVE	POSITIVE	POSITIVE	nice	quality	n/a
59	40114261	20	nice product At this cost its a very nice product...that too with lid... which is also an important part	nice product cost very nice product too lid also important part	['nice', 'product', 'cost', 'very', 'nice', 'product', 'too', 'lid', 'also', 'important', 'part']	5	POSITIVE	POSITIVE	POSITIVE	cost	price	n/a
60	40114261	20	nice product At this cost its a very nice product...that too with lid... which is also an important part	nice product cost very nice product too lid also important part	['nice', 'product', 'cost', 'very', 'nice', 'product', 'too', 'lid', 'also', 'important', 'part']	5	POSITIVE	POSITIVE	POSITIVE	nice	quality	n/a
61	40114261	21	Good one The base is heavy, and almost uniform heating across all the cavities is observed, leading to uniform cooking. Using it since last one month and in love with the product.	good one base heavy almost uniform heat across cavities observe lead uniform cook use since last one month love product	['good', 'one', 'base', 'heavy', 'almost', 'uniform', 'heat', 'across', 'cavities', 'observe', 'lead', 'uniform', 'cook', 'use', 'since', 'last', 'one', 'month', 'love', 'product']	5	NEUTRAL	POSITIVE	NEUTRAL	good	quality	n/a
62	40114261	21	Good one The base is heavy, and almost uniform heating across all the cavities is observed, leading to uniform cooking. Using it since last one month and in love with the product.	good one base heavy almost uniform heat across cavities observe lead uniform cook use since last one month love product	['good', 'one', 'base', 'heavy', 'almost', 'uniform', 'heat', 'across', 'cavities', 'observe', 'lead', 'uniform', 'cook', 'use', 'since', 'last', 'one', 'month', 'love', 'product']	5	NEUTRAL	POSITIVE	NEUTRAL	heavy	quality	n/a
63	40114261	21	Good one The base is heavy, and almost uniform heating across all the cavities is observed, leading to uniform cooking. Using it since last one month and in love with the product.	good one base heavy almost uniform heat across cavities observe lead uniform cook use since last one month love product	['good', 'one', 'base', 'heavy', 'almost', 'uniform', 'heat', 'across', 'cavities', 'observe', 'lead', 'uniform', 'cook', 'use', 'since', 'last', 'one', 'month', 'love', 'product']	5	NEUTRAL	POSITIVE	NEUTRAL	last	quality	n/a
64	40114261	21	Good one The base is heavy, and almost uniform heating across all the cavities is observed, leading to uniform cooking. Using it since last one month and in love with the product.	good one base heavy almost uniform heat across cavities observe lead uniform cook use since last one month love product	['good', 'one', 'base', 'heavy', 'almost', 'uniform', 'heat', 'across', 'cavities', 'observe', 'lead', 'uniform', 'cook', 'use', 'since', 'last', 'one', 'month', 'love', 'product']	5	NEUTRAL	POSITIVE	NEUTRAL	love	quality	n/a
65	40114261	21	Good one The base is heavy, and almost uniform heating across all the cavities is observed, leading to uniform cooking. Using it since last one month and in love with the product.	good one base heavy almost uniform heat across cavities observe lead uniform cook use since last one month love product	['good', 'one', 'base', 'heavy', 'almost', 'uniform', 'heat', 'across', 'cavities', 'observe', 'lead', 'uniform', 'cook', 'use', 'since', 'last', 'one', 'month', 'love', 'product']	5	NEUTRAL	POSITIVE	NEUTRAL	cook	operational_effectiveness	n/a
66	40114261	21	Good one The base is heavy, and almost uniform heating across all the cavities is observed, leading to uniform cooking. Using it since last one month and in love with the product.	good one base heavy almost uniform heat across cavities observe lead uniform cook use since last one month love product	['good', 'one', 'base', 'heavy', 'almost', 'uniform', 'heat', 'across', 'cavities', 'observe', 'lead', 'uniform', 'cook', 'use', 'since', 'last', 'one', 'month', 'love', 'product']	5	NEUTRAL	POSITIVE	NEUTRAL	heat	operational_effectiveness	n/a
67	40114261	21	Good one The base is heavy, and almost uniform heating across all the cavities is observed, leading to uniform cooking. Using it since last one month and in love with the product.	good one base heavy almost uniform heat across cavities observe lead uniform cook use since last one month love product	['good', 'one', 'base', 'heavy', 'almost', 'uniform', 'heat', 'across', 'cavities', 'observe', 'lead', 'uniform', 'cook', 'use', 'since', 'last', 'one', 'month', 'love', 'product']	5	NEUTRAL	POSITIVE	NEUTRAL	uniform	operational_effectiveness	n/a
68	40114261	21	Good one The base is heavy, and almost uniform heating across all the cavities is observed, leading to uniform cooking. Using it since last one month and in love with the product.	good one base heavy almost uniform heat across cavities observe lead uniform cook use since last one month love product	['good', 'one', 'base', 'heavy', 'almost', 'uniform', 'heat', 'across', 'cavities', 'observe', 'lead', 'uniform', 'cook', 'use', 'since', 'last', 'one', 'month', 'love', 'product']	5	NEUTRAL	POSITIVE	NEUTRAL	use	operational_effectiveness	n/a
69	40114261	22	 Good	good	['good']	3	POSITIVE	POSITIVE	POSITIVE	good	quality	n/a
70	40114261	23	yes nice	yes nice	['yes', 'nice']	5	POSITIVE	POSITIVE	POSITIVE	nice	quality	n/a
71	40114261	24	I did like this product quality issue	do like product quality issue	['do', 'like', 'product', 'quality', 'issue']	2	NEUTRAL	POSITIVE	NEGATIVE	issue	quality	n/a
72	40114261	24	I did like this product quality issue	do like product quality issue	['do', 'like', 'product', 'quality', 'issue']	2	NEUTRAL	POSITIVE	NEGATIVE	like	quality	n/a
73	40114261	24	I did like this product quality issue	do like product quality issue	['do', 'like', 'product', 'quality', 'issue']	2	NEUTRAL	POSITIVE	NEGATIVE	quality	quality	n/a
74	40114261	24	I did like this product quality issue	do like product quality issue	['do', 'like', 'product', 'quality', 'issue']	2	NEUTRAL	POSITIVE	NEGATIVE	do	operational_effectiveness	n/a
75	40114261	25	good product 	good product	['good', 'product']	4	POSITIVE	POSITIVE	POSITIVE	good	quality	n/a
76	40114261	25	good product 	good product	['good', 'product']	4	POSITIVE	POSITIVE	POSITIVE	good product	quality	superior quality
77	40114262	26	Does the job It's a great tool. Toast on the lowest burner setting and you get results.	do job great tool toast lowest burner set get result	['do', 'job', 'great', 'tool', 'toast', 'lowest', 'burner', 'set', 'get', 'result']	4	POSITIVE	POSITIVE	NEUTRAL	great	quality	n/a
78	40114262	26	Does the job It's a great tool. Toast on the lowest burner setting and you get results.	do job great tool toast lowest burner set get result	['do', 'job', 'great', 'tool', 'toast', 'lowest', 'burner', 'set', 'get', 'result']	4	POSITIVE	POSITIVE	NEUTRAL	do	operational_effectiveness	n/a
79	40114262	26	Does the job It's a great tool. Toast on the lowest burner setting and you get results.	do job great tool toast lowest burner set get result	['do', 'job', 'great', 'tool', 'toast', 'lowest', 'burner', 'set', 'get', 'result']	4	POSITIVE	POSITIVE	NEUTRAL	result	operational_effectiveness	n/a
80	40114262	26	Does the job It's a great tool. Toast on the lowest burner setting and you get results.	do job great tool toast lowest burner set get result	['do', 'job', 'great', 'tool', 'toast', 'lowest', 'burner', 'set', 'get', 'result']	4	POSITIVE	POSITIVE	NEUTRAL	toast	operational_effectiveness	n/a
81	40114262	27	 It does it work seamlessly	do work seamlessly	['do', 'work', 'seamlessly']	5	POSITIVE	NEUTRAL	NEUTRAL	do	operational_effectiveness	n/a
82	40114262	27	 It does it work seamlessly	do work seamlessly	['do', 'work', 'seamlessly']	5	POSITIVE	NEUTRAL	NEUTRAL	work	operational_effectiveness	n/a
83	40114262	28	Bad Horrible bad quality toast is burning. Firstly got a wrong product and then stuck.	bad horrible bad quality toast burn firstly get wrong product stick	['bad', 'horrible', 'bad', 'quality', 'toast', 'burn', 'firstly', 'get', 'wrong', 'product', 'stick']	1	NEGATIVE	NEGATIVE	NEGATIVE	bad	quality	n/a
84	40114262	28	Bad Horrible bad quality toast is burning. Firstly got a wrong product and then stuck.	bad horrible bad quality toast burn firstly get wrong product stick	['bad', 'horrible', 'bad', 'quality', 'toast', 'burn', 'firstly', 'get', 'wrong', 'product', 'stick']	1	NEGATIVE	NEGATIVE	NEGATIVE	horrible	quality	n/a
85	40114262	28	Bad Horrible bad quality toast is burning. Firstly got a wrong product and then stuck.	bad horrible bad quality toast burn firstly get wrong product stick	['bad', 'horrible', 'bad', 'quality', 'toast', 'burn', 'firstly', 'get', 'wrong', 'product', 'stick']	1	NEGATIVE	NEGATIVE	NEGATIVE	quality	quality	n/a
86	40114262	28	Bad Horrible bad quality toast is burning. Firstly got a wrong product and then stuck.	bad horrible bad quality toast burn firstly get wrong product stick	['bad', 'horrible', 'bad', 'quality', 'toast', 'burn', 'firstly', 'get', 'wrong', 'product', 'stick']	1	NEGATIVE	NEGATIVE	NEGATIVE	stick	quality	n/a
87	40114262	28	Bad Horrible bad quality toast is burning. Firstly got a wrong product and then stuck.	bad horrible bad quality toast burn firstly get wrong product stick	['bad', 'horrible', 'bad', 'quality', 'toast', 'burn', 'firstly', 'get', 'wrong', 'product', 'stick']	1	NEGATIVE	NEGATIVE	NEGATIVE	burn	operational_effectiveness	n/a
88	40114262	28	Bad Horrible bad quality toast is burning. Firstly got a wrong product and then stuck.	bad horrible bad quality toast burn firstly get wrong product stick	['bad', 'horrible', 'bad', 'quality', 'toast', 'burn', 'firstly', 'get', 'wrong', 'product', 'stick']	1	NEGATIVE	NEGATIVE	NEGATIVE	toast	operational_effectiveness	n/a
89	40114262	28	Bad Horrible bad quality toast is burning. Firstly got a wrong product and then stuck.	bad horrible bad quality toast burn firstly get wrong product stick	['bad', 'horrible', 'bad', 'quality', 'toast', 'burn', 'firstly', 'get', 'wrong', 'product', 'stick']	1	NEGATIVE	NEGATIVE	NEGATIVE	bad quality	quality	poor quality
90	40114262	29	 Average Product	average product	['average', 'product']	3	NEGATIVE	NEUTRAL	NEGATIVE	average	quality	n/a
91	40114262	30	Good product Good. Serves the purpose.	good product good serve purpose	['good', 'product', 'good', 'serve', 'purpose']	5	POSITIVE	POSITIVE	POSITIVE	good	quality	n/a
92	40114262	30	Good product Good. Serves the purpose.	good product good serve purpose	['good', 'product', 'good', 'serve', 'purpose']	5	POSITIVE	POSITIVE	POSITIVE	serve	operational_effectiveness	n/a
93	40114262	30	Good product Good. Serves the purpose.	good product good serve purpose	['good', 'product', 'good', 'serve', 'purpose']	5	POSITIVE	POSITIVE	POSITIVE	good product	quality	superior quality
94	40114262	31	 good	good	['good']	3	POSITIVE	POSITIVE	POSITIVE	good	quality	n/a
