UID	Product_ID	Review_ID	Review_Text	Processed_Text	TextBlob	Vader	API	Matched_token	Theme
24	40114261	16	 best products	best products	POSITIVE	POSITIVE	POSITIVE	No match	No match
25	40114261	17	Must go for it. Good Product.	must go good product	POSITIVE	POSITIVE	NEUTRAL	No match	No match
26	40114261	18	 Good	good	POSITIVE	POSITIVE	POSITIVE	No match	No match
27	40114261	19	 good, nice product	good nice product	POSITIVE	POSITIVE	POSITIVE	No match	No match
28	40114261	20	nice product At this cost its a very nice product...that too with lid... which is also an important part	nice product cost very nice product too lid also important part	POSITIVE	POSITIVE	POSITIVE	cost	price
29	40114261	21	Good one The base is heavy, and almost uniform heating across all the cavities is observed, leading to uniform cooking. Using it since last one month and in love with the product.	good one base heavy almost uniform heat across cavities observe lead uniform cook use since last one month love product	NEUTRAL	POSITIVE	NEUTRAL	last	quality
30	40114261	21	Good one The base is heavy, and almost uniform heating across all the cavities is observed, leading to uniform cooking. Using it since last one month and in love with the product.	good one base heavy almost uniform heat across cavities observe lead uniform cook use since last one month love product	NEUTRAL	POSITIVE	NEUTRAL	heat	operational_effectiveness
31	40114261	21	Good one The base is heavy, and almost uniform heating across all the cavities is observed, leading to uniform cooking. Using it since last one month and in love with the product.	good one base heavy almost uniform heat across cavities observe lead uniform cook use since last one month love product	NEUTRAL	POSITIVE	NEUTRAL	use	operational_effectiveness
32	40114261	22	 Good	good	POSITIVE	POSITIVE	POSITIVE	No match	No match
33	40114261	23	yes nice	yes nice	POSITIVE	POSITIVE	POSITIVE	No match	No match
34	40114261	24	I did like this product quality issue	do like product quality issue	NEUTRAL	POSITIVE	NEGATIVE	issue	quality
35	40114261	24	I did like this product quality issue	do like product quality issue	NEUTRAL	POSITIVE	NEGATIVE	quality	quality
36	40114261	24	I did like this product quality issue	do like product quality issue	NEUTRAL	POSITIVE	NEGATIVE	do	operational_effectiveness
37	40114261	25	good product 	good product	POSITIVE	POSITIVE	POSITIVE	No match	No match
38	40114262	26	Does the job It's a great tool. Toast on the lowest burner setting and you get results.	do job great tool toast lowest burner set get result	POSITIVE	POSITIVE	NEUTRAL	do	operational_effectiveness
39	40114262	26	Does the job It's a great tool. Toast on the lowest burner setting and you get results.	do job great tool toast lowest burner set get result	POSITIVE	POSITIVE	NEUTRAL	toast	operational_effectiveness
40	40114262	27	 It does it work seamlessly	do work seamlessly	POSITIVE	NEUTRAL	NEUTRAL	do	operational_effectiveness
41	40114262	27	 It does it work seamlessly	do work seamlessly	POSITIVE	NEUTRAL	NEUTRAL	work	operational_effectiveness
42	40114262	28	Bad Horrible bad quality toast is burning. Firstly got a wrong product and then stuck.	bad horrible bad quality toast burn firstly get wrong product stick	NEGATIVE	NEGATIVE	NEGATIVE	bad	quality
43	40114262	28	Bad Horrible bad quality toast is burning. Firstly got a wrong product and then stuck.	bad horrible bad quality toast burn firstly get wrong product stick	NEGATIVE	NEGATIVE	NEGATIVE	quality	quality
44	40114262	28	Bad Horrible bad quality toast is burning. Firstly got a wrong product and then stuck.	bad horrible bad quality toast burn firstly get wrong product stick	NEGATIVE	NEGATIVE	NEGATIVE	toast	operational_effectiveness
45	40114262	29	 Average Product	average product	NEGATIVE	NEUTRAL	NEGATIVE	No match	No match
46	40114262	30	Good product Good. Serves the purpose.	good product good serve purpose	POSITIVE	POSITIVE	POSITIVE	No match	No match
47	40114262	31	 good	good	POSITIVE	POSITIVE	POSITIVE	No match	No match
48	40114262	32	not yet tried not yet tried	not yet try not yet try	NEUTRAL	NEUTRAL	NEUTRAL	No match	No match
49	40014027	33	 vry bad product...everything sticks	vry bad product everything stick	NEGATIVE	NEGATIVE	NEGATIVE	bad	quality
50	40014027	34	Rubbish product just started using it last week and within 4 use, it has gone bad, it doesn't seems like original Hawkins futura, can't even cook a basic Omelette in this pan, is there a way to get it returned. Not worthy of even 1/2 star.	rubbish product just start use last week within use have go bad do not seem like original hawkins futura can not even cook basic omelette pan way get return not worthy even star	NEGATIVE	NEGATIVE	NEGATIVE	can	shipping_delivery
51	40014027	34	Rubbish product just started using it last week and within 4 use, it has gone bad, it doesn't seems like original Hawkins futura, can't even cook a basic Omelette in this pan, is there a way to get it returned. Not worthy of even 1/2 star.	rubbish product just start use last week within use have go bad do not seem like original hawkins futura can not even cook basic omelette pan way get return not worthy even star	NEGATIVE	NEGATIVE	NEGATIVE	return	shipping_delivery
52	40014027	34	Rubbish product just started using it last week and within 4 use, it has gone bad, it doesn't seems like original Hawkins futura, can't even cook a basic Omelette in this pan, is there a way to get it returned. Not worthy of even 1/2 star.	rubbish product just start use last week within use have go bad do not seem like original hawkins futura can not even cook basic omelette pan way get return not worthy even star	NEGATIVE	NEGATIVE	NEGATIVE	bad	quality
53	40014027	34	Rubbish product just started using it last week and within 4 use, it has gone bad, it doesn't seems like original Hawkins futura, can't even cook a basic Omelette in this pan, is there a way to get it returned. Not worthy of even 1/2 star.	rubbish product just start use last week within use have go bad do not seem like original hawkins futura can not even cook basic omelette pan way get return not worthy even star	NEGATIVE	NEGATIVE	NEGATIVE	last	quality
54	40014027	34	Rubbish product just started using it last week and within 4 use, it has gone bad, it doesn't seems like original Hawkins futura, can't even cook a basic Omelette in this pan, is there a way to get it returned. Not worthy of even 1/2 star.	rubbish product just start use last week within use have go bad do not seem like original hawkins futura can not even cook basic omelette pan way get return not worthy even star	NEGATIVE	NEGATIVE	NEGATIVE	do	operational_effectiveness
55	40014027	34	Rubbish product just started using it last week and within 4 use, it has gone bad, it doesn't seems like original Hawkins futura, can't even cook a basic Omelette in this pan, is there a way to get it returned. Not worthy of even 1/2 star.	rubbish product just start use last week within use have go bad do not seem like original hawkins futura can not even cook basic omelette pan way get return not worthy even star	NEGATIVE	NEGATIVE	NEGATIVE	use	operational_effectiveness
56	40014027	35	 Good	good	POSITIVE	POSITIVE	POSITIVE	No match	No match
57	40014027	36	 very bad product.. without applying oil w cannot be used	very bad product without apply oil w can not use	NEGATIVE	NEGATIVE	NEGATIVE	can	shipping_delivery
58	40014027	36	 very bad product.. without applying oil w cannot be used	very bad product without apply oil w can not use	NEGATIVE	NEGATIVE	NEGATIVE	bad	quality
59	40014027	36	 very bad product.. without applying oil w cannot be used	very bad product without apply oil w can not use	NEGATIVE	NEGATIVE	NEGATIVE	use	operational_effectiveness
60	40014023	37	pathetic product and service of big basket pathetic product and return is also cancelled by big basket. pathetic service	pathetic product service big basket pathetic product return also cancel big basket pathetic service	NEGATIVE	NEGATIVE	NEGATIVE	return	shipping_delivery
61	40014023	37	pathetic product and service of big basket pathetic product and return is also cancelled by big basket. pathetic service	pathetic product service big basket pathetic product return also cancel big basket pathetic service	NEGATIVE	NEGATIVE	NEGATIVE	service	operational_effectiveness
62	40014023	38	 exellent product by Hawkins.	exellent product hawkins	NEUTRAL	NEUTRAL	NEUTRAL	No match	No match
63	40023164	39	good product good	good product good	POSITIVE	POSITIVE	POSITIVE	No match	No match
64	40077282	40	 terrible quality. The coating is not teflon. The handle becomes loose every now & then because of wrong nuts & bolts are used.	terrible quality coat not teflon handle become loose every now wrong nut bolt use	NEGATIVE	NEGATIVE	NEGATIVE	quality	quality
65	40077282	40	 terrible quality. The coating is not teflon. The handle becomes loose every now & then because of wrong nuts & bolts are used.	terrible quality coat not teflon handle become loose every now wrong nut bolt use	NEGATIVE	NEGATIVE	NEGATIVE	use	operational_effectiveness
66	40168472	41	 Too small and not deep enough. Still Unopened. Would like to return it.	too small not deep enough still unopened would like return	NEGATIVE	POSITIVE	POSITIVE	return	shipping_delivery
67	40168472	42	A 4-star product. Product is good, but the outer paint (red color) started coming out after first wash. Have used it for around 4-5 times, inside looks good.	star product product good but outer paint red color start come first wash have use around time inside look good	POSITIVE	POSITIVE	POSITIVE	use	operational_effectiveness
68	40168472	42	A 4-star product. Product is good, but the outer paint (red color) started coming out after first wash. Have used it for around 4-5 times, inside looks good.	star product product good but outer paint red color start come first wash have use around time inside look good	POSITIVE	POSITIVE	POSITIVE	wash	maintenance
69	40168472	43	 I got this today and started using it after completing the sanitizing procedures. I like this as this is deeper than I expected... was able to fry a chopped medium onion for dal tadka... :). so its capacity is good	get today start use complete sanitize procedures like deeper than expect able fry chop medium onion dal tadka capacity good	POSITIVE	POSITIVE	POSITIVE	capacity	size
70	40168472	43	 I got this today and started using it after completing the sanitizing procedures. I like this as this is deeper than I expected... was able to fry a chopped medium onion for dal tadka... :). so its capacity is good	get today start use complete sanitize procedures like deeper than expect able fry chop medium onion dal tadka capacity good	POSITIVE	POSITIVE	POSITIVE	fry	operational_effectiveness
71	40168472	43	 I got this today and started using it after completing the sanitizing procedures. I like this as this is deeper than I expected... was able to fry a chopped medium onion for dal tadka... :). so its capacity is good	get today start use complete sanitize procedures like deeper than expect able fry chop medium onion dal tadka capacity good	POSITIVE	POSITIVE	POSITIVE	use	operational_effectiveness
72	40168472	44	 handy and useful	handy useful	POSITIVE	POSITIVE	POSITIVE	handy	operational_effectiveness
73	40168472	44	 handy and useful	handy useful	POSITIVE	POSITIVE	POSITIVE	useful	operational_effectiveness
74	40168472	45	 GOOD	good	POSITIVE	POSITIVE	POSITIVE	No match	No match
75	40168472	46	 good	good	POSITIVE	POSITIVE	POSITIVE	No match	No match
76	40031298	47	 The lid broke in like 30 days only. I want to get a replacement.	lid break like 0 days only want get replacement	NEUTRAL	POSITIVE	NEUTRAL	break	quality
77	40031298	47	 The lid broke in like 30 days only. I want to get a replacement.	lid break like 0 days only want get replacement	NEUTRAL	POSITIVE	NEUTRAL	want	quality
78	40031298	48	 Finger can be cut from the edge because the edge is very sharp	finger can cut edge edge very sharp	NEGATIVE	NEGATIVE	POSITIVE	can	shipping_delivery
79	40031298	49	 Satisfied with the product. Serves my purpose of cooking small meals.	satisfy product serve purpose cook small meals	NEGATIVE	POSITIVE	NEGATIVE	No match	No match
80	40031298	50	 the product was damaged within 5 days after purchase. not expected from prestige	product damage within days purchase not expect prestige	NEUTRAL	NEGATIVE	NEUTRAL	No match	No match
81	40031298	51	Worst Quality Product Worst product cheap quality and the lid got burst while cooking within 3 days of purchase	worst quality product worst product cheap quality lid get burst cook within days purchase	NEGATIVE	NEGATIVE	NEGATIVE	cheap	price
82	40031298	51	Worst Quality Product Worst product cheap quality and the lid got burst while cooking within 3 days of purchase	worst quality product worst product cheap quality lid get burst cook within days purchase	NEGATIVE	NEGATIVE	NEGATIVE	quality	quality
83	40031298	52	worst product worst coating came out within no time in spite of not using it regularly	worst product worst coat come within no time spite not use regularly	NEGATIVE	NEGATIVE	NEGATIVE	use	operational_effectiveness
84	40031298	53	 I wonder if this product has Teflon coating and the glass lid broke. I dint expect this form the Prestige product	wonder product have teflon coat glass lid break dint expect form prestige product	NEUTRAL	NEUTRAL	NEUTRAL	break	quality
85	40031298	54	 I like the product as it is very useful.	like product very useful	POSITIVE	POSITIVE	POSITIVE	useful	operational_effectiveness
86	40119727	55	 worst product	worst product	NEGATIVE	NEGATIVE	NEGATIVE	No match	No match
87	40166686	56	 Lovely heavy bottom SS kadai..dishwasher safe..trick to use an SS kadai is to put it on medium to low flame and add oil just after turning the gas on. Very satisfied with the product..one negative is that it has a ridge just above the bottom of the pan so the masala tends to gather at that ridge. Been using the product everday for almost 2 weeks now.	lovely heavy bottom ss kadai dishwasher safe trick use ss kadai put medium low flame add oil just turn gas very satisfy product one negative have ridge just above bottom pan masala tend gather ridge use product everday almost weeks now	POSITIVE	POSITIVE	POSITIVE	use	operational_effectiveness
88	40166686	57	 Not good	not good	NEGATIVE	NEGATIVE	NEGATIVE	No match	No match
89	40166686	58	so I m not satisfied it's lickage from handle	m not satisfy lickage handle	NEUTRAL	NEGATIVE	NEGATIVE	No match	No match
90	40166686	59	 Very Good Product	very good product	POSITIVE	POSITIVE	POSITIVE	No match	No match
91	40166686	60	damaged please change its all damaged product	damage please change damage product	NEUTRAL	NEGATIVE	NEGATIVE	No match	No match
92	40166686	61	 Sturdy and nice looking	sturdy nice look	POSITIVE	POSITIVE	POSITIVE	sturdy	quality
93	40166685	62	it's of proper size for me and is not too heavy. but still food doesn't stick to the bottom. 	proper size not too heavy but still food do not stick bottom	NEGATIVE	NEUTRAL	NEGATIVE	do	operational_effectiveness
94	40166685	63	 good and sturdy kadai	good sturdy kadai	POSITIVE	POSITIVE	POSITIVE	sturdy	quality
95	40166685	64	awesome 	awesome	POSITIVE	POSITIVE	POSITIVE	No match	No match
96	40166685	65	 I like this product.	like product	NEUTRAL	POSITIVE	NEGATIVE	No match	No match
97	40166685	66	 nice and perfect	nice perfect	POSITIVE	POSITIVE	POSITIVE	perfect	quality
98	40129855	67	poor thing Really bad quality	poor thing really bad quality	NEGATIVE	NEGATIVE	NEGATIVE	bad	quality
99	40129855	67	poor thing Really bad quality	poor thing really bad quality	NEGATIVE	NEGATIVE	NEGATIVE	quality	quality
100	40128795	68	Perfect small size pan for omlette Very good quality product. Perfect for omlette and stuff	perfect small size pan omlette very good quality product perfect omlette stuff	POSITIVE	POSITIVE	POSITIVE	perfect	quality
101	40128795	68	Perfect small size pan for omlette Very good quality product. Perfect for omlette and stuff	perfect small size pan omlette very good quality product perfect omlette stuff	POSITIVE	POSITIVE	POSITIVE	quality	quality
102	40128795	69	Pan Smaller than expectation	pan smaller than expectation	NEUTRAL	NEUTRAL	POSITIVE	No match	No match
103	40031298	70	 The lid broke in like 30 days only. I want to get a replacement.	lid break like 0 days only want get replacement	NEUTRAL	POSITIVE	NEUTRAL	break	quality
104	40031298	70	 The lid broke in like 30 days only. I want to get a replacement.	lid break like 0 days only want get replacement	NEUTRAL	POSITIVE	NEUTRAL	want	quality
105	40031298	71	 Finger can be cut from the edge because the edge is very sharp	finger can cut edge edge very sharp	NEGATIVE	NEGATIVE	POSITIVE	can	shipping_delivery
106	40031298	72	 Satisfied with the product. Serves my purpose of cooking small meals.	satisfy product serve purpose cook small meals	NEGATIVE	POSITIVE	NEGATIVE	No match	No match
107	40031298	73	 the product was damaged within 5 days after purchase. not expected from prestige	product damage within days purchase not expect prestige	NEUTRAL	NEGATIVE	NEUTRAL	No match	No match
108	40031298	74	Worst Quality Product Worst product cheap quality and the lid got burst while cooking within 3 days of purchase	worst quality product worst product cheap quality lid get burst cook within days purchase	NEGATIVE	NEGATIVE	NEGATIVE	cheap	price
109	40031298	74	Worst Quality Product Worst product cheap quality and the lid got burst while cooking within 3 days of purchase	worst quality product worst product cheap quality lid get burst cook within days purchase	NEGATIVE	NEGATIVE	NEGATIVE	quality	quality
110	40031298	75	worst product worst coating came out within no time in spite of not using it regularly	worst product worst coat come within no time spite not use regularly	NEGATIVE	NEGATIVE	NEGATIVE	use	operational_effectiveness
111	40031298	76	 I wonder if this product has Teflon coating and the glass lid broke. I dint expect this form the Prestige product	wonder product have teflon coat glass lid break dint expect form prestige product	NEUTRAL	NEUTRAL	NEUTRAL	break	quality
112	40031298	77	 I like the product as it is very useful.	like product very useful	POSITIVE	POSITIVE	POSITIVE	useful	operational_effectiveness
113	40166685	78	it's of proper size for me and is not too heavy. but still food doesn't stick to the bottom. 	proper size not too heavy but still food do not stick bottom	NEGATIVE	NEUTRAL	NEGATIVE	do	operational_effectiveness
114	40166685	79	 good and sturdy kadai	good sturdy kadai	POSITIVE	POSITIVE	POSITIVE	sturdy	quality
115	40166685	80	awesome 	awesome	POSITIVE	POSITIVE	POSITIVE	No match	No match
116	40166685	81	 I like this product.	like product	NEUTRAL	POSITIVE	NEGATIVE	No match	No match
117	40166685	82	 nice and perfect	nice perfect	POSITIVE	POSITIVE	POSITIVE	perfect	quality
118	40014027	83	 vry bad product...everything sticks	vry bad product everything stick	NEGATIVE	NEGATIVE	NEGATIVE	bad	quality
119	40014027	84	Rubbish product just started using it last week and within 4 use, it has gone bad, it doesn't seems like original Hawkins futura, can't even cook a basic Omelette in this pan, is there a way to get it returned. Not worthy of even 1/2 star.	rubbish product just start use last week within use have go bad do not seem like original hawkins futura can not even cook basic omelette pan way get return not worthy even star	NEGATIVE	NEGATIVE	NEGATIVE	can	shipping_delivery
120	40014027	84	Rubbish product just started using it last week and within 4 use, it has gone bad, it doesn't seems like original Hawkins futura, can't even cook a basic Omelette in this pan, is there a way to get it returned. Not worthy of even 1/2 star.	rubbish product just start use last week within use have go bad do not seem like original hawkins futura can not even cook basic omelette pan way get return not worthy even star	NEGATIVE	NEGATIVE	NEGATIVE	return	shipping_delivery
121	40014027	84	Rubbish product just started using it last week and within 4 use, it has gone bad, it doesn't seems like original Hawkins futura, can't even cook a basic Omelette in this pan, is there a way to get it returned. Not worthy of even 1/2 star.	rubbish product just start use last week within use have go bad do not seem like original hawkins futura can not even cook basic omelette pan way get return not worthy even star	NEGATIVE	NEGATIVE	NEGATIVE	bad	quality
122	40014027	84	Rubbish product just started using it last week and within 4 use, it has gone bad, it doesn't seems like original Hawkins futura, can't even cook a basic Omelette in this pan, is there a way to get it returned. Not worthy of even 1/2 star.	rubbish product just start use last week within use have go bad do not seem like original hawkins futura can not even cook basic omelette pan way get return not worthy even star	NEGATIVE	NEGATIVE	NEGATIVE	last	quality
123	40014027	84	Rubbish product just started using it last week and within 4 use, it has gone bad, it doesn't seems like original Hawkins futura, can't even cook a basic Omelette in this pan, is there a way to get it returned. Not worthy of even 1/2 star.	rubbish product just start use last week within use have go bad do not seem like original hawkins futura can not even cook basic omelette pan way get return not worthy even star	NEGATIVE	NEGATIVE	NEGATIVE	do	operational_effectiveness
124	40014027	84	Rubbish product just started using it last week and within 4 use, it has gone bad, it doesn't seems like original Hawkins futura, can't even cook a basic Omelette in this pan, is there a way to get it returned. Not worthy of even 1/2 star.	rubbish product just start use last week within use have go bad do not seem like original hawkins futura can not even cook basic omelette pan way get return not worthy even star	NEGATIVE	NEGATIVE	NEGATIVE	use	operational_effectiveness
125	40014027	85	 Good	good	POSITIVE	POSITIVE	POSITIVE	No match	No match
126	40014027	86	 very bad product.. without applying oil w cannot be used	very bad product without apply oil w can not use	NEGATIVE	NEGATIVE	NEGATIVE	can	shipping_delivery
127	40014027	86	 very bad product.. without applying oil w cannot be used	very bad product without apply oil w can not use	NEGATIVE	NEGATIVE	NEGATIVE	bad	quality
128	40014027	86	 very bad product.. without applying oil w cannot be used	very bad product without apply oil w can not use	NEGATIVE	NEGATIVE	NEGATIVE	use	operational_effectiveness
129	40014023	87	pathetic product and service of big basket pathetic product and return is also cancelled by big basket. pathetic service	pathetic product service big basket pathetic product return also cancel big basket pathetic service	NEGATIVE	NEGATIVE	NEGATIVE	return	shipping_delivery
130	40014023	87	pathetic product and service of big basket pathetic product and return is also cancelled by big basket. pathetic service	pathetic product service big basket pathetic product return also cancel big basket pathetic service	NEGATIVE	NEGATIVE	NEGATIVE	service	operational_effectiveness
131	40014023	88	 exellent product by Hawkins.	exellent product hawkins	NEUTRAL	NEUTRAL	NEUTRAL	No match	No match
132	40113966	89	 please return this its not with appam stand	please return not appam stand	NEUTRAL	POSITIVE	NEGATIVE	return	shipping_delivery
133	40113966	90	 Small Size	small size	NEGATIVE	NEUTRAL	POSITIVE	No match	No match
134	40113971	91	Coating peeling off after 5 months. But Replaced. It was all good for 5 months. At the end of 5 months the non stick coating started to peel off. I've not used any metal spoons /abrasive to wash it. I was trying to give maximum care yet the coating has started to peel off. Gotta throw it now. Better buy something else Maybe stainless steel would be better! Update : I contacted the Kaviraj company and they replaced with a new Kadhai. And this kadhai has 1 year warranty. And replacement was pretty easy.	coat peel months but replace good months end months non stick coat start peel I have not use metal spoon abrasive wash try give maximum care yet coat have start peel get throw now better buy something else maybe stainless steel would better update contact kaviraj company replace new kadhai kadhai have year warranty replacement pretty easy	POSITIVE	POSITIVE	NEGATIVE	replace	quality
135	40113971	91	Coating peeling off after 5 months. But Replaced. It was all good for 5 months. At the end of 5 months the non stick coating started to peel off. I've not used any metal spoons /abrasive to wash it. I was trying to give maximum care yet the coating has started to peel off. Gotta throw it now. Better buy something else Maybe stainless steel would be better! Update : I contacted the Kaviraj company and they replaced with a new Kadhai. And this kadhai has 1 year warranty. And replacement was pretty easy.	coat peel months but replace good months end months non stick coat start peel I have not use metal spoon abrasive wash try give maximum care yet coat have start peel get throw now better buy something else maybe stainless steel would better update contact kaviraj company replace new kadhai kadhai have year warranty replacement pretty easy	POSITIVE	POSITIVE	NEGATIVE	use	operational_effectiveness
136	40113971	91	Coating peeling off after 5 months. But Replaced. It was all good for 5 months. At the end of 5 months the non stick coating started to peel off. I've not used any metal spoons /abrasive to wash it. I was trying to give maximum care yet the coating has started to peel off. Gotta throw it now. Better buy something else Maybe stainless steel would be better! Update : I contacted the Kaviraj company and they replaced with a new Kadhai. And this kadhai has 1 year warranty. And replacement was pretty easy.	coat peel months but replace good months end months non stick coat start peel I have not use metal spoon abrasive wash try give maximum care yet coat have start peel get throw now better buy something else maybe stainless steel would better update contact kaviraj company replace new kadhai kadhai have year warranty replacement pretty easy	POSITIVE	POSITIVE	NEGATIVE	care	maintenance
137	40113971	91	Coating peeling off after 5 months. But Replaced. It was all good for 5 months. At the end of 5 months the non stick coating started to peel off. I've not used any metal spoons /abrasive to wash it. I was trying to give maximum care yet the coating has started to peel off. Gotta throw it now. Better buy something else Maybe stainless steel would be better! Update : I contacted the Kaviraj company and they replaced with a new Kadhai. And this kadhai has 1 year warranty. And replacement was pretty easy.	coat peel months but replace good months end months non stick coat start peel I have not use metal spoon abrasive wash try give maximum care yet coat have start peel get throw now better buy something else maybe stainless steel would better update contact kaviraj company replace new kadhai kadhai have year warranty replacement pretty easy	POSITIVE	POSITIVE	NEGATIVE	wash	maintenance
138	40113971	92	not good Not good, very light. Lid is hopeless	not good not good very light lid hopeless	NEGATIVE	NEGATIVE	POSITIVE	No match	No match
139	40113971	93	 small size	small size	NEGATIVE	NEUTRAL	POSITIVE	No match	No match
140	40031298	94	 The lid broke in like 30 days only. I want to get a replacement.	lid break like 0 days only want get replacement	NEUTRAL	POSITIVE	NEUTRAL	break	quality
141	40031298	94	 The lid broke in like 30 days only. I want to get a replacement.	lid break like 0 days only want get replacement	NEUTRAL	POSITIVE	NEUTRAL	want	quality
142	40031298	95	 Finger can be cut from the edge because the edge is very sharp	finger can cut edge edge very sharp	NEGATIVE	NEGATIVE	POSITIVE	can	shipping_delivery
143	40031298	96	 Satisfied with the product. Serves my purpose of cooking small meals.	satisfy product serve purpose cook small meals	NEGATIVE	POSITIVE	NEGATIVE	No match	No match
144	40031298	97	 the product was damaged within 5 days after purchase. not expected from prestige	product damage within days purchase not expect prestige	NEUTRAL	NEGATIVE	NEUTRAL	No match	No match
145	40031298	98	Worst Quality Product Worst product cheap quality and the lid got burst while cooking within 3 days of purchase	worst quality product worst product cheap quality lid get burst cook within days purchase	NEGATIVE	NEGATIVE	NEGATIVE	cheap	price
146	40031298	98	Worst Quality Product Worst product cheap quality and the lid got burst while cooking within 3 days of purchase	worst quality product worst product cheap quality lid get burst cook within days purchase	NEGATIVE	NEGATIVE	NEGATIVE	quality	quality
147	40031298	99	worst product worst coating came out within no time in spite of not using it regularly	worst product worst coat come within no time spite not use regularly	NEGATIVE	NEGATIVE	NEGATIVE	use	operational_effectiveness
148	40031298	100	 I wonder if this product has Teflon coating and the glass lid broke. I dint expect this form the Prestige product	wonder product have teflon coat glass lid break dint expect form prestige product	NEUTRAL	NEUTRAL	NEUTRAL	break	quality
149	40031298	101	 I like the product as it is very useful.	like product very useful	POSITIVE	POSITIVE	POSITIVE	useful	operational_effectiveness
150	40119727	102	 worst product	worst product	NEGATIVE	NEGATIVE	NEGATIVE	No match	No match
